,Order Date,Sales
0,2015-01-31,14205.707
1,2015-02-28,4519.892
2,2015-03-31,55205.797
3,2015-04-30,27906.855
4,2015-05-31,23644.303
5,2015-06-30,34322.9356
6,2015-07-31,33781.543
7,2015-08-31,27117.5365
8,2015-09-30,81623.5268
9,2015-10-31,31453.393
10,2015-11-30,77907.66070000001
11,2015-12-31,68167.0585
12,2016-01-31,18066.9576
13,2016-02-29,11951.411
14,2016-03-31,32339.3184
15,2016-04-30,34154.4685
16,2016-05-31,29959.5305
17,2016-06-30,23599.374
18,2016-07-31,28608.259000000002
19,2016-08-31,36818.3422
20,2016-09-30,63133.606
21,2016-10-31,31011.7375
22,2016-11-30,75249.3995
23,2016-12-31,74543.6012
24,2017-01-31,18542.490999999998
25,2017-02-28,22978.815000000002
26,2017-03-31,51165.059
27,2017-04-30,38679.767
28,2017-05-31,56656.908
29,2017-06-30,39724.486
30,2017-07-31,38320.783
31,2017-08-31,30542.2003
32,2017-09-30,69193.3909
33,2017-10-31,59583.033
34,2017-11-30,79066.4958
35,2017-12-31,95739.121
36,2018-01-31,43476.474
37,2018-02-28,19920.9974
38,2018-03-31,58863.4128
39,2018-04-30,35541.9101
40,2018-05-31,43825.9822
41,2018-06-30,48190.7277
42,2018-07-31,44825.104
43,2018-08-31,62837.848
44,2018-09-30,86152.888
45,2018-10-31,77448.1312
46,2018-11-30,117938.155
47,2018-12-31,83030.3888
